date,camera,video_file,time,loom_no,butterfly_no,parrot_no,surg_no,chromis_pres,butterfly_fl,parrot_fl,surg_fl,chromis_fl,completion_date,completed_by,notes,roving_pres,roving_fl,fish_pres,response,,
6/11/2024,A,GX339698,5:25,267,0,1,1,y,n ,n,n,n,12/07/2024,KL,,y,n,y,n,,
6/11/2024,A,GX349698,1:58,272,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX349698,4:00,274,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX359698,1:33,280,0,1,0,n,n,n,n,n,12/08/2024,KL,Damselfish chases parrotfish out of arena. ,y,n,y,n,,
6/11/2024,A,GX359698,3:34,282,0,0,0,y,n,n,n,n,12/08/2024,KL,,n,n,y,n,,
6/11/2024,A,GX369698,0:07,287,0,1,0,y,n,y,n,y,12/08/2024,KL,,y,y,y,y,,
6/11/2024,A,GX369698,2:08,289,0,0,0,y,n,n,n,n,12/08/2024,KL,,n,n,y,n,,
6/11/2024,A,GX369698,3:09,290,0,0,0,y,n,n,n,n,12/08/2024,KL,,n,n,y,n,,
6/11/2024,A,GX369698,5:11,292,0,1,0,y,n,n,n,n,12/08/2024,KL,,y,n,y,n,,
6/11/2024,A,GX369698,7:13,294,0,0,0,y,n,n,n,n,12/08/2024,KL,,n,n,y,n,,
6/11/2024,A,GX379698,0:42,296,0,0,0,y,n,n,n,n,12/08/2024,KL,,n,n,y,n,,
6/11/2024,A,GX379698,1:43,297,0,0,1,y,n,n,n,n,12/08/2024,KL,Surgeonfish swimming out of arena.,y,n,y,n,,
6/11/2024,A,GX379698,2:44,298,0,1,0,y,n,n,n,n,12/08/2024,KL,,y,n,y,n,,
6/11/2024,A,GX379698,4:46,300,0,1,0,n,n,n,n,n,12/08/2024,KL,,y,n,y,n,,
6/11/2024,A,GX379698,5:47,301,0,1,0,n,n,n,n,n,12/08/2024,KL,,y,n,y,n,,
6/11/2024,A,GX379698,6:48,302,0,3,2,n,n,n,n,n,12/08/2024,KL,,y,n,y,n,,
